app_id,name,total_reviews,review_score,is_free,price,release_date,all_time_peak,avg_count,day_peak,ownership,owner_range,owners_lower,owners_upper,owner_bucket,activity_bucket,review_bucket,positive_reviews,negative_reviews,players_forever,players_2weeks,steamspy_ccu
755790,Ring of Elysium,233,6,False,,"Jun 24, 2019",63435,1401.9447236180904,2,15000000,"10,000,000 .. 20,000,000",10000000,20000000,gte_10m,zero,10k_100k,74345,25492,,,0
8980,Borderlands Game of the Year,12573,8,False,2999,"Aug 31, 2023",23443,340.0433403805497,139,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,50_500,10k_100k,28944,3579,,,142
238320,Outlast,28285,9,False,1499,"Sep 4, 2013",11684,365.2861736334405,387,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,50_500,gte_100k,121220,4458,,,215
436520,Line of Sight,1171,5,True,,"Jan 31, 2017",4020,66.20383693045564,12,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,lt_50,1k_10k,5402,3653,,,9
442070,Drawful 2,707,8,False,599,"Jun 20, 2016",5293,78.3925353925354,32,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,lt_50,1k_10k,2983,1036,,,22
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,384,8,True,,"Jun 25, 2012",494,14.818627450980392,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,100_1k,497,86,,,0
4560,Company of Heroes - Legacy Edition,2705,8,False,739,"Jul 17, 2007",3274,120.68359788359788,116,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,50_500,1k_10k,6540,457,,,65
21970,R.U.S.E.,1406,8,False,2999,"Sep 9, 2010",2429,552.7716701902748,814,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,50_500,1k_10k,2630,184,,,207
2195250,EA SPORTS FC 24,32123,5,False,,"Sep 28, 2023",107109,3033.2231812577065,2539,7500000,"5,000,000 .. 10,000,000",5000000,10000000,2m_10m,gte_5k,gte_100k,63281,46293,,,5110
815260,Lords of Kingdoms,0,0,True,,"Jun 15, 2018",136,4.056140350877193,4,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,lt_100,36,44,,,2
